Year,Month,Domestic,International,Total
2002,10,48054917,9578435,57633352
2002,11,44850246,9016535,53866781
2002,12,49684353,10038794,59723147
2003,1,43032450,9726436,52758886
2003,2,41166780,8283372,49450152
2003,3,49992700,9538653,59531353
2003,4,47033260,8309305,55342565
2003,5,49152352,8801873,57954225
2003,6,52209516,10347900,62557416
2003,7,55810773,11705206,67515979
2003,8,53920973,11799672,65720645
2003,9,44213408,9454647,53668055
2003,10,49944935,9608358,59553293
2003,11,47059495,9481886,56541381
2003,12,49757124,10512547,60269671
2004,1,43815481,10252443,54067924
2004,2,45306644,9310317,54616961
2004,3,54147227,10976440,65123667
2004,4,53253194,10802022,64055216
2004,5,53030873,10971254,64002127
2004,6,56959142,12159514,69118656
2004,7,59614287,13502913,73117200
2004,8,57380873,13203566,70584439
2004,9,47671785,10570682,58242467
2004,10,54167489,10772177,64939666
2004,11,51782564,10174320,61956884
2004,12,52640057,11244427,63884484
2005,1,47977657,11387275,59364932
2005,2,47074882,9945067,57019949
2005,3,58838975,12479643,71318618
2005,4,54908859,11521174,66430033
2005,5,57323876,12164600,69488476
2005,6,59724061,13140061,72864122
2005,7,62396446,14421209,76817655
2005,8,59110633,13703334,72813967
2005,9,50600325,11325800,61926125
2005,10,53738093,11107586,64845679
2005,11,52766404,10580099,63346503
2005,12,52801276,11812574,64613850
2006,1,48886043,11724098,60610141
2006,2,47348142,10167275,57515417
2006,3,58286011,12707241,70993252
2006,4,55828555,12619137,68447692
2006,5,57145193,12610793,69755986
2006,6,59297121,13690835,72987956
2006,7,60838606,14912621,75751227
2006,8,58303233,14171796,72475029
2006,9,49949551,12010922,61960473
2006,10,55088986,11517228,66606214
2006,11,53852209,11222687,65074896
2006,12,53538970,12385958,65924928
2007,1,50022168,12072442,62094610
2007,2,47766421,10591580,58358001
2007,3,59244232,13247375,72491607
2007,4,57398267,12795517,70193784
2007,5,59285571,12972589,72258160
2007,6,61493934,14170877,75664811
2007,7,63457403,15470687,78928090
2007,8,62660179,15131296,77791475
2007,9,52310402,12332434,64642836
2007,10,57208618,12392938,69601556
2007,11,55047116,12023481,67070597
2007,12,53291139,13123756,66414895
2008,1,50245100,12794514,63039614
2008,2,50118363,11677400,61795763
2008,3,59213077,14221964,73435041
2008,4,55611053,12983854,68594907
2008,5,58047400,13628619,71676019
2008,6,59559171,14447504,74006675
2008,7,61401480,15488628,76890108
2008,8,58966473,15369492,74335965
2008,9,47680101,11759694,59439795
2008,10,52956023,11952515,64908538
2008,11,47658141,11288311,58946452
2008,12,50253800,12499216,62753016
2009,1,44825056,12075267,56900323
2009,2,43680328,10412676,54093004
2009,3,53534891,12508793,66043684
2009,4,52247781,12629805,64877586
2009,5,52951246,11806548,64757794
2009,6,55898027,13199636,69097663
2009,7,59468957,14953615,74422572
2009,8,56568180,14844821,71413001
2009,9,48235025,11659775,59894800
2009,10,52279405,11905529,64184934
2009,11,48584832,11093714,59678546
2009,12,49793527,12659154,62452681
2010,1,45501620,12393439,57895059
2010,2,42440614,10694165,53134779
2010,3,54424077,13279320,67703397
2010,4,52498074,12398700,64896774
2010,5,53842422,13380664,67223086
2010,6,56689853,14406776,71096629
2010,7,59142493,16026852,75169345
2010,8,57370748,15317926,72688674
2010,9,50304708,12599149,62903857
2010,10,54826050,12874707,67700757
2010,11,51420519,11651314,63071833
2010,12,51076415,12917451,63993866
2011,1,46305000,12668763,58973763
2011,2,43657818,10944610,54602428
2011,3,55649428,13473705,69123133
2011,4,52858479,13537152,66395631
2011,5,55982234,13935132,69917366
2011,6,57778699,14814672,72593371
2011,7,60310568,16623674,76934242
2011,8,57403835,15753438,73157273
2011,9,50982170,13220884,64203054
2011,10,54124363,13199913,67324276
2011,11,51660083,12156133,63816216
2011,12,51534990,13559050,65094040
2012,1,47080840,13206801,60287641
2012,2,46405385,11732944,58138329
2012,3,56200391,14387677,70588068
2012,4,53691570,13995377,67686947
2012,5,55749349,14291285,70040634
2012,6,57903293,15582335,73485628
2012,7,59688267,16969590,76657857
2012,8,58646304,16616643,75262947
2012,9,50134504,13791714,63926218
2012,10,53779646,13397785,67177431
2012,11,51844482,12763847,64608329
2012,12,51165451,14097885,65263336
2013,1,47816859,13768819,61585678
2013,2,45740158,12037584,57777742
2013,3,56564538,15188333,71752871
2013,4,53228575,14301619,67530194
2013,5,56562929,15353665,71916594
2013,6,57990789,16403199,74393988
2013,7,59310478,17748869,77059347
2013,8,58115405,17666442,75781847
2013,9,50766098,14368204,65134302
2013,10,54706246,14341721,69047967
2013,11,50542543,13260466,63803009
2013,12,54332936,15205588,69538524
2014,1,47957371,14692606,62649977
2014,2,45513184,12482600,57995784
2014,3,57762170,15604456,73366626
2014,4,55247482,15471267,70718749
2014,5,57888637,16338378,74227015
2014,6,59262095,17361717,76623812
2014,7,61757698,18784523,80542221
2014,8,59758814,18784355,78543169
2014,9,52529472,14985203,67514675
2014,10,57084923,14981228,72066151
2014,11,52578037,13730768,66308805
2014,12,55487072,15805756,71292828
2015,1,49727992,15467163,65195155
2015,2,47164898,13325293,60490191
2015,3,59557626,16342061,75899687
2015,4,57698342,16025595,73723937
2015,5,60252607,17115194,77367801
2015,6,61811276,18203199,80014475
2015,7,65129348,20215002,85344350
2015,8,62770806,19914264,82685070
2015,9,55989599,16111956,72101555
2015,10,60892617,16188843,77081460
2015,11,57150828,14846611,71997439
2015,12,57870955,16859827,74730782
2016,1,52474245,16492079,68966324
2016,2,51111616,14421545,65533161
2016,3,61593610,17382692,78976302
2016,4,58894278,16596730,75491008
2016,5,62752723,17868001,80620724
2016,6,64757943,19407251,84165194
2016,7,66135126,21435123,87570249
2016,8,63498615,20654207,84152822
2016,9,58620581,17161889,75782470
2016,10,61709421,16905446,78614867
2016,11,59269837,15653035,74922872
2016,12,59178833,18014473,77193306
2017,1,54109329,17488782,71598111
2017,2,51078172,14709988,65788160
2017,3,63963808,17910122,81873930
2017,4,61099004,18686523,79785527
2017,5,64442977,18865393,83308370
2017,6,66746463,20676407,87422870
2017,7,68575481,22690243,91265724
2017,8,66664019,22013119,88677138
2017,9,57144508,17438756,74583264
2017,10,64625405,17604236,82229641
2017,11,61911765,16476642,78388407
2017,12,61374167,18469636,79843803
2018,1,55831159,17897787,73728946
2018,2,54078219,15720901,69799120
2018,3,66644135,19716774,86360909
2018,4,64557780,19111955,83669735
2018,5,67846119,20126585,87972704
2018,6,70279158,22046732,92325890
2018,7,72540389,23754573,96294962
2018,8,70338563,22909627,93248190
2018,9,60468575,18051374,78519949
2018,10,67082086,18830854,85912940
2018,11,64660022,17552376,82212398
2018,12,63646582,19520179,83166761
2019,1,58034262,18690817,76725079
2019,2,55679481,16280536,71960017
2019,3,70234684,20295947,90530631
2019,4,66938654,20019304,86957958
2019,5,71365660,20995113,92360773
2019,6,72790418,22747453,95537871
2019,7,75281916,23907859,99189775
2019,8,72729199,23239180,95968379
2019,9,63991365,18842310,82833675
2019,10,69936836,18982654,88919490
2019,11,64827417,17575113,82402530
2019,12,69737438,19859635,89597073
2020,1,61626555,18952551,80579106
2020,2,59861451,15823772,75685223
2020,3,34417694,8956945,43374639
2020,4,2879712,401329,3281041
2020,5,8238756,372915,8611671
2020,6,16132885,803948,16936833
2020,7,22879138,1862122,24741260
2020,8,23910774,2283423,26194197
2020,9,23854772,2277684,26132456
2020,10,28027209,2965514,30992723
2020,11,26294514,3529881,29824395
2020,12,27264199,4725492,31989691
