Rank,Name,Nationality,Classical
#1,GM Magnus Carlsen,Norway,2864
#2,GM Ding Liren,China,2806
#3,GM Alireza Firouzja,France,2793
#4,GM Fabiano Caruana,United States,2783
#5,GM Levon Aronian,United States,2775
#6,GM Wesley So,United States,2773
#7,GM Maxime Vachier-Lagrave,France,2766
#8,GM Ian Nepomniachtchi,Ukraine,2766
#9,GM Richard Rapport,Hungary,2764
#10,GM Viswanathan Anand,India,2762
#11,GM Anish Giri,Netherlands,2760
#12,GM Hikaru Nakamura,United States,2760
#13,GM Shakhriyar Mamedyarov,Azerbaijan ,2759
#14,GM Leinier Dominguez Perez,United States,2754
#15,GM Jan-Krzysztof Duda,Poland,2750
#16,GM Sergey Karjakin,Ukraine,2747
#17,GM Alexander Grischuk,International,2745
#18,GM Teimour Radjabov,Azerbaijan,2738
#19,GM Wang Hao,China,2735
#20,GM Dmitry Andreikin,International,2729
#21,GM Veselin Topalov,Bulgaria,2728
#22,GM Wei Yi,China,2727
#23,GM Vidit Santosh Gujrathi,India,2723
#24,GM Nikita Vitiugov,International,2722
#25,GM Yu Yangyi,China,2720
